,1. open,2. high,3. low,4. close,5. volume
2009-11-17,684.7758,684.7758,684.7758,684.7758,0
2009-11-16,684.7758,684.7758,684.7758,684.7758,0
2009-11-13,684.7758,684.7758,684.7758,684.7758,59
2009-11-12,684.7758,684.7758,684.7758,684.7758,0
2009-11-11,684.7758,684.7758,684.7758,684.7758,100
2009-11-10,684.7758,684.7758,684.7758,684.7758,0
2009-11-09,684.7758,684.7758,684.7758,684.7758,0
2009-11-06,684.7758,684.7758,684.7758,684.7758,0
2009-11-05,684.7758,684.7758,684.7758,684.7758,0
2009-11-04,684.7758,684.7758,684.7758,684.7758,105
2009-11-03,684.7758,684.7758,684.7758,684.7758,0
2009-11-02,684.7758,684.7758,684.7758,684.7758,0
2009-10-30,684.7758,684.7758,684.7758,684.7758,250
2009-10-29,684.7758,684.7758,684.7758,684.7758,0
2009-10-28,684.7758,684.7758,684.7758,684.7758,10
2009-10-27,684.7758,684.7758,684.7758,684.7758,0
2009-10-26,684.7758,684.7758,684.7758,684.7758,29
2009-10-23,684.7758,684.7758,684.7758,684.7758,0
2009-10-22,684.7758,684.7758,684.7758,684.7758,10
2009-10-21,684.7758,684.7758,684.7758,684.7758,0
2009-10-20,684.7758,684.7758,684.7758,684.7758,0
2009-10-19,684.7758,684.7758,684.7758,684.7758,0
2009-10-16,684.7758,684.7758,684.7758,684.7758,38
2009-10-15,684.7758,684.7758,684.7758,684.7758,0
2009-10-14,684.7758,684.7758,684.7758,684.7758,45
2009-10-13,684.7758,684.7758,684.7758,684.7758,20
2009-10-12,684.7758,684.7758,684.7758,684.7758,10
2009-10-09,684.7758,684.7758,684.7758,684.7758,120
2009-10-08,684.7758,684.7758,684.7758,684.7758,0
2009-10-07,684.7758,684.7758,684.7758,684.7758,0
2009-10-06,684.7758,684.7758,684.7758,684.7758,0
2009-10-05,684.7758,684.7758,684.7758,684.7758,45
2009-10-02,684.7758,684.7758,684.7758,684.7758,0
2009-10-01,684.7758,684.7758,684.7758,684.7758,50
2009-09-30,440.9174,440.9174,440.9174,440.9174,0
2009-09-29,440.9174,440.9174,440.9174,440.9174,0
