,ADX
2021-01-12,9.9965
2021-01-11,10.0117
2021-01-08,10.0251
2021-01-07,10.0361
2021-01-06,10.0461
2021-01-05,10.0570
2021-01-04,10.0652
2020-12-31,10.0734
2020-12-30,10.0740
2020-12-29,10.0714
2020-12-28,10.0687
2020-12-24,10.0690
2020-12-23,10.0760
2020-12-22,10.0819
2020-12-21,10.0878
2020-12-18,10.0938
2020-12-17,10.0993
2020-12-16,10.1010
2020-12-15,10.1037
2020-12-14,10.1103
2020-12-11,10.1170
2020-12-10,10.1284
2020-12-09,10.1396
2020-12-08,10.1499
2020-12-07,10.1578
2020-12-04,10.1641
2020-12-03,10.1691
2020-12-02,10.1723
2020-12-01,10.1755
2020-11-30,10.1788
2020-11-27,10.1834
2020-11-25,10.1830
2020-11-24,10.1838
2020-11-23,10.1887
2020-11-20,10.1935
2020-11-19,10.1959
2020-11-18,10.1988
2020-11-17,10.1999
2020-11-16,10.1986
2020-11-13,10.2003
2020-11-12,10.2010
2020-11-11,10.2016
2020-11-10,10.2045
2020-11-09,10.2091
2020-11-06,10.2066
2020-11-05,10.1946
2020-11-04,10.1781
2020-11-03,10.1690
2020-11-02,10.1709
2020-10-30,10.1728
2020-10-29,10.1691
2020-10-28,10.1535
2020-10-27,10.1378
2020-10-26,10.1178
2020-10-23,10.0984
2020-10-22,10.0838
2020-10-21,10.0695
2020-10-20,10.0520
2020-10-19,10.0318
2020-10-16,10.0113
2020-10-15,9.9908
2020-10-14,9.9599
2020-10-13,9.9237
2020-10-12,9.8799
2020-10-09,9.8358
2020-10-08,9.8045
2020-10-07,9.7767
2020-10-06,9.7509
2020-10-05,9.7261
2020-10-02,9.6967
2020-10-01,9.6676
2020-09-30,9.6340
2020-09-29,9.6010
2020-09-28,9.5693
2020-09-25,9.5384
2020-09-24,9.5120
2020-09-23,9.4877
2020-09-22,9.4608
2020-09-21,9.4331
2020-09-18,9.4167
2020-09-17,9.3971
2020-09-16,9.3715
2020-09-15,9.3365
2020-09-14,9.2981
2020-09-11,9.2595
2020-09-10,9.2208
2020-09-09,9.1737
2020-09-08,9.1295
2020-09-04,9.0885
2020-09-03,9.0472
2020-09-02,8.9874
2020-09-01,8.9087
2020-08-31,8.8320
2020-08-28,8.7561
2020-08-27,8.6838
2020-08-26,8.6111
2020-08-25,8.5381
2020-08-24,8.4709
2020-08-21,8.4033
2020-08-20,8.3398
2020-08-19,8.2760
2020-08-18,8.2101
2020-08-17,8.1438
2020-08-14,8.0856
2020-08-13,8.0282
2020-08-12,7.9669
2020-08-11,7.9083
2020-08-10,7.8504
2020-08-07,7.7893
2020-08-06,7.7240
2020-08-05,7.6558
2020-08-04,7.5895
2020-08-03,7.5260
2020-07-31,7.4618
2020-07-30,7.3926
2020-07-29,7.3336
2020-07-28,7.2780
2020-07-27,7.2221
2020-07-24,7.1639
2020-07-23,7.1101
2020-07-22,7.0475
2020-07-21,6.9745
2020-07-20,6.8968
2020-07-17,6.8214
2020-07-16,6.7583
2020-07-15,6.6949
2020-07-14,6.6251
2020-07-13,6.5550
2020-07-10,6.4714
2020-07-09,6.3966
2020-07-08,6.3231
2020-07-07,6.2575
2020-07-06,6.1927
2020-07-02,6.1283
2020-07-01,6.0718
2020-06-30,6.0198
2020-06-29,5.9780
2020-06-26,5.9421
2020-06-25,5.8996
2020-06-24,5.8590
2020-06-23,5.8173
2020-06-22,5.7764
2020-06-19,5.7413
2020-06-18,5.7075
2020-06-17,5.6769
2020-06-16,5.6466
2020-06-15,5.6192
2020-06-12,5.5950
2020-06-11,5.5706
2020-06-10,5.5424
2020-06-09,5.5039
2020-06-08,5.4738
2020-06-05,5.4525
2020-06-04,5.4351
2020-06-03,5.4161
2020-06-02,5.3988
2020-06-01,5.3829
2020-05-29,5.3669
2020-05-28,5.3541
2020-05-27,5.3418
2020-05-26,5.3316
2020-05-22,5.3119
2020-05-21,5.2902
2020-05-20,5.2670
2020-05-19,5.2461
2020-05-18,5.2265
2020-05-15,5.2118
2020-05-14,5.1992
2020-05-13,5.1884
2020-05-12,5.1775
2020-05-11,5.1647
2020-05-08,5.1498
2020-05-07,5.1381
2020-05-06,5.1273
2020-05-05,5.1183
2020-05-04,5.1099
2020-05-01,5.1037
2020-04-30,5.0973
2020-04-29,5.0754
2020-04-28,5.0614
2020-04-27,5.0491
2020-04-24,5.0302
2020-04-23,5.0136
2020-04-22,4.9969
2020-04-21,4.9831
2020-04-20,4.9692
2020-04-17,4.9428
2020-04-16,4.9206
2020-04-15,4.8961
2020-04-14,4.8843
2020-04-13,4.8768
2020-04-09,4.8814
2020-04-08,4.9002
2020-04-07,4.9203
2020-04-06,4.9414
2020-04-03,4.9655
2020-04-02,4.9812
2020-04-01,4.9970
2020-03-31,5.0133
2020-03-30,5.0356
2020-03-27,5.0557
2020-03-26,5.0718
2020-03-25,5.0880
2020-03-24,5.1035
2020-03-23,5.1208
2020-03-20,5.1340
2020-03-19,5.1481
2020-03-18,5.1610
2020-03-17,5.1611
2020-03-16,5.1613
2020-03-13,5.1490
2020-03-12,5.1427
2020-03-11,5.1337
2020-03-10,5.1393
2020-03-09,5.1471
2020-03-06,5.1507
2020-03-05,5.1677
2020-03-04,5.1899
2020-03-03,5.2138
2020-03-02,5.2378
2020-02-28,5.2564
2020-02-27,5.2666
2020-02-26,5.2860
2020-02-25,5.3093
2020-02-24,5.3328
2020-02-21,5.3523
2020-02-20,5.3580
2020-02-19,5.3580
2020-02-18,5.3532
2020-02-14,5.3508
2020-02-13,5.3492
2020-02-12,5.3454
2020-02-11,5.3395
2020-02-10,5.3336
2020-02-07,5.3343
2020-02-06,5.3398
2020-02-05,5.3510
2020-02-04,5.3612
2020-02-03,5.3730
2020-01-31,5.3864
2020-01-30,5.3996
2020-01-29,5.4148
2020-01-28,5.4307
2020-01-27,5.4442
2020-01-24,5.4553
2020-01-23,5.4709
2020-01-22,5.4902
2020-01-21,5.5111
2020-01-17,5.5309
2020-01-16,5.5497
2020-01-15,5.5698
2020-01-14,5.5891
2020-01-13,5.6089
2020-01-10,5.6320
2020-01-09,5.6551
2020-01-08,5.6806
2020-01-07,5.7053
2020-01-06,5.7309
2020-01-03,5.7552
2020-01-02,5.7771
2019-12-31,5.7991
2019-12-30,5.8148
2019-12-27,5.8317
2019-12-26,5.8522
2019-12-24,5.8683
2019-12-23,5.8734
2019-12-20,5.8782
2019-12-19,5.8830
2019-12-18,5.8863
2019-12-17,5.8907
2019-12-16,5.8943
2019-12-13,5.8945
2019-12-12,5.8946
2019-12-11,5.8940
2019-12-10,5.8912
2019-12-09,5.8885
2019-12-06,5.8872
2019-12-05,5.8839
2019-12-04,5.8807
2019-12-03,5.8801
2019-12-02,5.8771
2019-11-29,5.8761
2019-11-27,5.8800
2019-11-26,5.8840
2019-11-25,5.8840
2019-11-22,5.8810
2019-11-21,5.8735
2019-11-20,5.8659
2019-11-19,5.8587
2019-11-18,5.8527
2019-11-15,5.8456
2019-11-14,5.8397
2019-11-13,5.8360
2019-11-12,5.8322
2019-11-11,5.8316
